order_id,order_arrival,process_start_time,order_complete_time,station_id
131,1140,1704,1819,picker-1
125,1080,1716,1825,picker-1
195,1740,1768,1831,picker-1
-77,0,1745,1832,picker-2
12,420,1731,1845,picker-2
181,1620,1725,1860,picker-2
201,1740,1785,1875,picker-1
68,720,1796,1880,picker-2
209,1800,1820,1918,picker-1
2,360,1801,1928,picker-3
174,1560,1826,1930,picker-1
145,1260,1832,1947,picker-1
17,420,1808,1952,picker-2
180,1620,1846,1962,picker-2
207,1800,1861,1971,picker-2
121,1080,1876,1974,picker-1
188,1680,1833,1987,picker-2
196,1740,1881,1992,picker-2
170,1560,1919,2023,picker-1
197,1740,1963,2025,picker-2
214,1860,1929,2025,picker-3
215,1920,1931,2029,picker-1
36,540,1953,2031,picker-2
213,1860,1972,2052,picker-2
200,1740,1948,2060,picker-1
154,1380,1975,2068,picker-1
223,1980,1993,2068,picker-2
210,1860,2024,2080,picker-1
211,1860,1988,2090,picker-2
208,1800,2026,2113,picker-2
220,1920,2030,2121,picker-1
202,1740,2032,2128,picker-2
-45,0,2026,2129,picker-3
232,2040,2053,2134,picker-2
23,480,2069,2144,picker-1
35,540,2061,2150,picker-1
148,1320,2091,2157,picker-2
83,840,2081,2158,picker-1
117,1080,2069,2163,picker-2
219,1920,2114,2169,picker-2
149,1320,2122,2178,picker-1
222,1980,2135,2188,picker-2
244,2100,2129,2208,picker-2
-42,0,2130,2227,picker-3
134,1140,2145,2229,picker-1
205,1740,2170,2249,picker-2
234,2100,2151,2260,picker-1
225,1980,2164,2261,picker-2
192,1680,2158,2271,picker-2
229,2040,2159,2274,picker-1
204,1740,2189,2293,picker-2
176,1620,2179,2305,picker-1
247,2160,2230,2318,picker-1
235,2100,2261,2324,picker-1
-25,0,2228,2332,picker-3
-7,0,2262,2346,picker-2
251,2160,2272,2346,picker-2
262,2280,2294,2359,picker-2
257,2220,2250,2365,picker-2
243,2100,2275,2388,picker-1
240,2100,2306,2416,picker-1
254,2220,2360,2435,picker-2
189,1680,2319,2436,picker-1
231,2040,2325,2444,picker-1
185,1680,2366,2454,picker-2
11,420,2333,2474,picker-3
40,540,2347,2475,picker-2
272,2340,2389,2488,picker-1
256,2220,2417,2506,picker-1
281,2400,2445,2530,picker-1
165,1500,2437,2552,picker-1
16,420,2475,2559,picker-3
239,2100,2455,2560,picker-2
187,1680,2489,2560,picker-1
258,2280,2507,2576,picker-1
216,1920,2476,2582,picker-2
259,2280,2531,2583,picker-1
77,780,2561,2624,picker-2
193,1680,2561,2625,picker-1
260,2280,2553,2631,picker-1
277,2400,2577,2639,picker-1
301,2520,2583,2644,picker-2
34,540,2560,2646,picker-3
184,1680,2584,2675,picker-1
249,2160,2626,2687,picker-1
283,2400,2625,2688,picker-2
294,2520,2632,2702,picker-1
299,2520,2640,2707,picker-1
307,2580,2688,2736,picker-1
286,2460,2689,2736,picker-2
261,2280,2676,2742,picker-1
246,2160,2703,2757,picker-1
311,2640,2708,2774,picker-1
279,2400,2743,2787,picker-1
326,2700,2737,2794,picker-1
