item_code,item_name,box_length,box_width,box_height,box_volume,box_weight,number_of_item_in_a_box,item_volume,item_unit,item_order_frequency,item_relative_importance,item_quantity_order_mean,item_quantity_order_std,item_quantity_order_total,item_quantity_order_unique,item_quantity_order_unique_frequency,item_class,item_initial_quantity_inventory,item_class_old
14615083001,真好家芝麻香油130ml,21.0,17.0,15.0,5355.0,7.48,12.0,446.3,PCS,2.0,0.9959634006099898,1.5,0.707,3,"[1, 2]","[1, 1]",4,3,4
14615084001,得意的一天五珍寶健康調和2.4L,38.0,26.0,30.0,29640.0,14.22,6.0,4940.0,PCS,142.0,0.5909068182196964,1.695,1.548,261,"[1, 2, 3, 4, 6, 8, 12]","[105, 30, 8, 1, 8, 1, 1]",3,4,3
14615101001,自然本味100％苦茶油,25.0,20.0,29.0,14500.0,10.12,12.0,1208.3,PCS,27.0,0.8621256312394794,2.276,1.162,66,"[1, 2, 4, 7]","[3, 22, 3, 1]",3,4,3
14615107001,義美100％純黑麻油,29.0,23.0,29.0,19343.0,11.5,12.0,1611.9,PCS,22.0,0.8842085965233912,1.273,0.883,28,"[1, 2, 5]","[19, 2, 1]",0,3,0
14615108001,義美100％純芝麻香油,25.0,19.0,26.0,12350.0,6.81,12.0,1029.2,PCS,37.0,0.8263928934517758,1.947,2.301,74,"[1, 2, 3, 4, 6, 9, 12]","[26, 7, 1, 1, 1, 1, 1]",3,5,3
14615114001,泰山玄米油600ml,27.0,24.0,26.0,16848.0,7.424,12.0,1404.0,PCS,16.0,0.9144547590873484,1.75,2.745,28,"[1, 2, 12]","[14, 1, 1]",3,5,3
14615133001,泰山玄米油1.5L,33.0,23.0,29.0,22011.0,9.2,6.0,3668.5,PCS,97.0,0.6723621272978784,6.919,5.999,1024,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 17, 18, 22, 27]","[11, 39, 9, 13, 2, 16, 1, 3, 11, 8, 6, 15, 7, 1, 1, 5]",3,17,3
14615894001,泰山超值不飽和調合油 2L,34.0,24.0,30.0,24480.0,12.07,6.0,4080.0,PCS,95.0,0.6745920901318312,3.238,5.145,340,"[1, 2, 3, 4, 5, 6, 9, 12, 18, 20, 23, 24, 26]","[57, 19, 10, 3, 1, 7, 1, 1, 1, 1, 1, 2, 1]",2,9,2
14615896001,泰山OMEGA3芥花不飽和調合油,39.0,27.0,32.0,33696.0,18.0,6.0,5616.0,PCS,3.0,0.9913201446642556,1.0,0.0,3,[1],[3],3,1,3
14615897001,維義堅果精華健康調和油 2L,35.0,24.0,28.0,23520.0,11.91,6.0,3920.0,PCS,7.0,0.9676672055465744,1.0,0.0,7,[1],[7],3,1,3
14615898001,維義活力能量健康調和油 2L,35.0,24.0,28.0,23520.0,11.77,6.0,3920.0,PCS,6.0,0.9738571023816268,3.0,3.162,18,"[1, 6, 8]","[4, 1, 1]",3,7,3
14616001001,萬家香糯米醋 595g,32.0,25.0,26.0,20800.0,12.08,12.0,1733.3,PCS,48.0,0.791416809719838,1.52,1.515,76,"[1, 2, 3, 4, 11]","[37, 9, 2, 1, 1]",3,4,3
14616002001,工研白醋 600ml,30.0,24.0,26.0,18720.0,11.17,12.0,1560.0,PCS,110.0,0.6475792070132165,3.546,6.123,422,"[1, 2, 3, 7, 8, 9, 10, 12, 15, 17, 19, 21, 22, 24, 36]","[74, 20, 8, 1, 1, 1, 1, 4, 1, 1, 1, 1, 1, 3, 1]",3,11,3
14616006001,工研烏醋 600g,31.0,24.0,26.0,19344.0,11.64,12.0,1612.0,PCS,226.0,0.4751054149097515,1.887,3.002,436,"[1, 2, 3, 4, 5, 6, 7, 9, 10, 12, 38]","[165, 34, 12, 7, 1, 4, 1, 1, 2, 3, 1]",3,10,3
