item_code,mean_demand,std_demand,cv_demand,nonzero_periods,T,demand_frequency,max_affinity,item_name,box_length,box_width,box_height,box_volume,box_weight,number_of_item_in_a_box,item_volume,item_unit,item_order_frequency,item_relative_importance,item_quantity_order_mean,item_quantity_order_std,item_quantity_order_total,item_quantity_order_unique,item_quantity_order_unique_frequency,item_class,item_initial_quantity_inventory,initial_unit_inventory,initial_box_inventory,cluster
10000002001,475.04761904761904,727.3368872943594,1.5310820602627857,21,21,1.0,0.0020364220254123,可口可樂2L,34.00.00,23.00,31.00.00,24242.0,13.31,6.0,4040.03.00,PCS,686.00.00,0.1409476508724854,12.741,13.943,9976.0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 15, 16, 18, 21, 22, 23, 24, 30, 36, 37, 39, 42, 48, 50, 54, 60]","[120, 91, 38, 13, 7, 160, 6, 5, 18, 4, 80, 4, 9, 3, 50, 1, 5, 1, 50, 46, 15, 1, 1, 11, 19, 1, 14, 10]",A,107.0,1406.04,234.34,3
10033043001,469.5238095238095,248.38269244204977,0.529009791205177,21,21,1.0,0.0017359663033857,御茶園台灣四季春PET550ml,41.00.00,27.00.00,24.00.00,26568.0,14.03,24.0,1107.00.00,PCS,1052.00.00,0.070655489075182,9.284,11.864,9860.0,"[2, 4, 8, 12, 16, 18, 20, 22, 24, 28, 32, 48, 52, 64, 72, 96]","[6, 769, 73, 27, 13, 1, 6, 1, 106, 4, 2, 45, 2, 2, 4, 1]",A,88.0,787.45,32.81,3
10002001001,464.0,201.56190116190112,0.4344006490558214,21,21,1.0,0.0012185147497802,維他露P 250ml,41.00.00,28.00.00,10.00,11480.0,"0,306944444",24.0,478.03.00,PCS,317.00.00,0.3616239729337844,30.45.00,11.153,9744.0,"[24, 48, 72]","[237, 80, 3]",B,60.0,722.0,30.08,1
15022026001,462.0,1343.8540099281618,2.9087749132644194,21,21,1.0,0.000317147700116,福樂麥芽保久乳 200ml,30.00.00,17.00,12.00,6120.00.00,05.02,24.0,255.00.00,PCS,182.00.00,0.5314178097031717,45.126,59.396,9702.0,"[6, 12, 18, 24, 30, 48, 54, 60, 72, 78, 138, 144, 222]","[59, 13, 7, 70, 1, 24, 3, 1, 5, 1, 15, 1, 15]",C,115.0,2182.13,90.92,2
15020050001,460.8571428571428,578.4903011904596,1.2552486386649775,21,21,1.0,0.0004506835539359,光泉高鈣牛乳,32.00.00,15.00,13.00,6240.00.00,05.31,24.0,260.00.00,PCS,237.00.00,0.4574090431826136,39.182,34.061,9678.0,"[6, 12, 18, 24, 30, 36, 42, 48, 66, 72, 96, 108, 120, 144]","[37, 7, 4, 110, 2, 2, 1, 38, 1, 15, 10, 1, 12, 7]",B,129.0,1201.32,50.06,0
14505041001,452.1428571428572,200.5652725958025,0.4435882806226279,21,21,1.0,0.0014688945375382,科學麵-原味(包)40g,39.00.00,31.00.00,12.00,14508.0,02.08,40.0,362.07.00,PCS,490.00.00,0.2321661305644906,17.649,21.828,9495.0,"[5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 260]","[230, 156, 9, 7, 12, 7, 4, 78, 2, 1, 3, 2, 1, 2, 6, 12, 2, 3, 1]",B,76.0,708.87,17.72,1
12201043001,448.0,203.292892153169,0.4537787771276093,21,21,1.0,0.0003338396782055,春風抽取衛生紙,20.00,10.00,08.00,1615.00.00,01.00,1.0,1615.00.00,PCS,212.00.00,0.494121764637256,41.263,37.806,9408.0,"[2, 8, 10, 12, 18, 20, 28, 30, 40, 50, 52, 58, 60, 62, 70, 140, 160]","[1, 6, 62, 4, 2, 58, 1, 3, 2, 1, 2, 1, 3, 2, 64, 13, 3]",B,142.0,708.21,708.21,0
10035021001,442.6666666666667,361.79404822817816,0.8173058318407639,21,21,1.0,0.000317147700116,Asahi 十六茶 530ml,41.00.00,27.00.00,24.00.00,26568.0,"0,604861111",24.0,1107.00.00,PCS,286.00.00,0.392856785720238,31.405,63.555,9296.0,"[1, 3, 4, 7, 8, 9, 12, 15, 16, 24, 32, 33, 36, 39, 44, 48, 61, 64, 72, 120, 480, 960]","[1, 1, 49, 1, 23, 1, 3, 1, 6, 130, 1, 1, 1, 1, 1, 61, 1, 2, 4, 5, 1, 1]",B,196.0,905.76,37.74,0
10014090001,437.42857142857144,193.08354964330115,0.441405894024529,21,21,1.0,0.0010849789250642,波蜜多果汁TP250ml,35.00.00,20.00,11.00,7700.00.00,"0,292361111",24.0,320.08.00,PCS,340.00.00,0.340784320261329,26.703,14.185,9186.0,"[6, 12, 18, 24, 48, 54]","[60, 6, 6, 184, 87, 1]",B,64.0,684.58,28.52,1
10002019001,433.1428571428572,236.84895729436636,0.546814875019975,21,21,1.0,0.0012685908004641,維大力加鹽沙士Can330 ml,41.00.00,27.00.00,13.00,14391.0,09.34,24.0,599.06.00,PCS,390.00.00,0.3012516458059032,23.028,17.484,9096.0,"[6, 12, 18, 24, 30, 36, 48, 60, 72, 84, 96, 120]","[7, 194, 4, 117, 1, 10, 53, 1, 1, 1, 1, 5]",B,69.0,736.31,30.68,1
10001025001,433.1428571428572,160.54478680863036,0.3706508930278405,21,21,1.0,0.0019195780623704,黑松汽水Can 245ml,40.00.00,27.00.00,10.00,10800.0,06.08,24.0,450.00.00,PCS,295.00.00,0.3860968983850269,30.626,14.319,9096.0,"[24, 48, 72, 192]","[223, 71, 2, 1]",B,68.0,638.64,26.61,1
10040005001,417.1428571428572,162.65001866408923,0.3899144283043235,21,21,1.0,0.0003338396782055,悅氏礦泉水600ml,41.00.00,27.00.00,24.00.00,26568.0,"0,672222222",24.0,1107.00.00,PCS,236.00.00,0.4597690038499358,36.349,17.326,8760.0,"[6, 12, 18, 24, 42, 48, 60, 72]","[14, 7, 3, 99, 1, 93, 6, 18]",B,82.0,625.33,26.06,0
10032008001,414.8571428571428,196.4419216242515,0.4735170287085952,21,21,1.0,0.0020197299309074,立頓瑞士巧克力奶茶TP250ml,34.00.00,20.00,11.00,7480.00.00,"0,293055556",24.0,311.07.00,PCS,341.00.00,0.3385143580940317,25.034,16.065,8712.0,"[6, 12, 18, 24, 30, 42, 48, 60, 72, 90]","[82, 15, 2, 172, 1, 1, 69, 1, 1, 4]",B,67.0,666.3,27.76,1
12201104001,411.42857142857144,342.5604430503574,0.8326121879696186,18,21,0.8571428571428571,0.0002503797586541,優活抽取式衛生紙,78.00.00,48.00.00,38.00.00,142272.0,11.01,96.0,1482.00.00,PCS,140.00.00,0.5937201046649222,59.586,47.59.00,8640.0,"[24, 48, 72, 96, 144, 480]","[58, 27, 10, 48, 1, 1]",C,112.0,849.91,8.85,0
10034003001,405.1428571428572,211.18482088310364,0.5212601361712713,21,21,1.0,0.0012185147497802,光泉茉莉柚茶TP250ml,34.00.00,20.00,11.00,7480.00.00,"0,294444444",24.0,311.07.00,PCS,324.00.00,0.3584173597106715,25.627,20.092,8508.0,"[6, 12, 18, 24, 36, 42, 48, 72, 264]","[77, 19, 2, 154, 3, 1, 72, 3, 1]",B,78.0,675.46,28.14,1
12201001001,404.57142857142856,233.83510673732707,0.5779822553535627,20,21,0.9523809523809524,0.0001168438830063,得意連續抽取式花紋衛生紙,19.00,10.00,08.00,1550.00.00,00.02,1.0,1550.04.00,PCS,128.00.00,0.6110064832252796,64.364,39.265,8496.0,"[24, 48, 72, 96, 120, 144]","[43, 16, 52, 1, 1, 19]",C,108.0,703.88,703.88,0
15020010001,387.7142857142857,391.4809245489674,1.0097149859405938,21,21,1.0,0.0003338396782055,光泉低脂高鈣牛乳,32.00.00,16.00,13.00,6656.00.00,05.26,24.0,277.03.00,PCS,196.00.00,0.5177580373660439,36.027,33.87,8142.0,"[6, 12, 18, 24, 30, 36, 42, 48, 53, 67, 72, 78, 90, 96, 114, 120, 144, 168, 234]","[48, 15, 2, 80, 1, 1, 8, 26, 7, 7, 6, 5, 1, 8, 1, 5, 3, 1, 1]",C,77.0,888.81,37.03,0
10033064001,381.7142857142857,212.93218236263465,0.5578313160697764,21,21,1.0,0.0015690464060753,統一麥香綠茶TP375ml,40.00.00,20.00,14.00,11200.0,"0,431944444",24.0,466.07.00,PCS,433.00.00,0.2739421009649839,17.933,14.327,8016.0,"[6, 12, 18, 24, 30, 48, 54, 60, 72, 120]","[183, 50, 12, 154, 4, 37, 1, 2, 3, 1]",B,56.0,654.27,27.26,1
10021027001,381.7142857142857,291.07407010194896,0.7625443453269621,21,21,1.0,0.0009681350202299,黑松FIN健康補給飲料Can240ml,40.00.00,27.00.00,10.00,10800.0,06.35,24.0,450.00.00,PCS,242.00.00,0.4470625489575173,32.852,14.832,8016.0,"[24, 48, 72, 96]","[168, 66, 6, 4]",B,72.0,754.29,31.43,1
14502081001,381.0,664.5483428615257,1.7442213723399624,21,21,1.0,0.0019863459747284,味味麵精燉肉燥湯麵(包) 78g,38.00.00,31.00.00,13.00,15314.0,03.25,30.0,510.05.00,PCS,406.00.00,0.2919418009699838,18.226,44.851,8001.0,"[1, 4, 5, 6, 9, 10, 15, 20, 25, 26, 30, 35, 40, 45, 50, 55, 60, 110, 300]","[2, 2, 236, 1, 1, 105, 7, 7, 7, 1, 39, 3, 2, 2, 1, 5, 7, 1, 10]",B,135.0,1231.62,41.05,1
10030013001,380.2857142857143,176.76570449528464,0.4648234152768566,21,21,1.0,0.0011350548593327,開喜凍頂烏龍茶微糖TP 250ml,35.00.00,20.00,11.00,7700.00.00,06.58,24.0,320.08.00,PCS,332.00.00,0.3475042082631956,22.883,14.965,7986.0,"[6, 12, 18, 24, 30, 36, 42, 48, 72, 96]","[91, 22, 7, 166, 3, 2, 4, 50, 2, 2]",B,63.0,606.55,25.27,1
12200001001,376.8571428571428,317.5503559617412,0.8426279346975696,21,21,1.0,0.0002336877660127,家樂福超值平版式花紋衛生紙,21.00,09.00,31.00.00,5859.00.00,01.00,1.0,5859.00.00,PCS,217.00.00,0.4884051932467792,33.392,32.155,7914.0,"[6, 12, 18, 24, 30, 36, 42, 48, 66, 72, 78, 84, 108, 144]","[46, 62, 8, 6, 1, 61, 1, 9, 2, 24, 1, 2, 6, 8]",B,119.0,783.32,783.32,0
10002010001,372.57142857142856,261.87717949996545,0.7028912026456128,20,21,0.9523809523809524,0.0007511392468586,維大力汽水255 ml,40.00.00,27.00.00,10.00,10800.0,"0,303472222",24.0,450.00.00,PCS,236.00.00,0.4581956967383876,32.465,"0,6375",7824.0,"[24, 48, 72, 96]","[170, 61, 6, 4]",B,72.0,707.77,29.49,0
10040062001,371.42857142857144,188.26910830738308,0.5068783685198774,21,21,1.0,0.0009848270565271,家樂福超值純水  1500ml,37.00.00,27.00.00,30.00.00,29970.0,15.00,12.0,2497.05.00,PCS,365.00.00,0.3149714171430476,20.08,9.554,7800.0,"[2, 10, 12, 24, 36, 48, 60]","[1, 1, 144, 206, 9, 4, 10]",B,46.0,612.41,51.03,1
10033068001,365.7142857142857,238.15901050708595,0.6512160443553131,21,21,1.0,0.0012018227716907,波蜜靠茶初茗綠茶 250ml,35.00.00,20.00,11.00,7700.00.00,05.00,24.0,320.08.00,PCS,263.00.00,0.4167530541157647,27.331,15.185,7680.0,"[6, 12, 18, 24, 30, 36, 42, 48, 54, 66, 72]","[44, 17, 6, 133, 1, 3, 3, 69, 1, 1, 3]",B,69.0,670.56,27.94,1
15021001001,358.2857142857143,304.09490999639286,0.84874974879376,21,21,1.0,0.0005174514953978,光泉果汁牛乳,32.00.00,16.00,13.00,6656.00.00,05.27,24.0,277.03.00,PCS,262.00.00,0.4202496625056249,26.493,23.067,7524.0,"[6, 12, 18, 24, 30, 36, 42, 48, 60, 66, 72, 96, 108, 168]","[75, 24, 8, 110, 5, 5, 3, 27, 1, 1, 15, 8, 1, 1]",B,88.0,747.53,31.15,0
10000026001,344.3809523809524,162.8245915672679,0.4728037089204405,21,21,1.0,0.0016525064129382,可口可樂Can 235ml,34.00.00,22.00,14.00,10472.0,"0,293055556",24.0,436.03.00,PCS,506.00.00,0.2156430726154564,14.236,10.831,7232.0,"[8, 16, 24, 32, 40, 48, 64, 72, 96]","[312, 100, 49, 20, 8, 16, 1, 1, 1]",B,43.0,552.8,23.03,1
10015007001,344.0,193.8411720971579,0.5634917793522033,21,21,1.0,0.000667679356411,津津蘆筍汁Can245ml,33.00.00,22.00,14.00,10164.0,07.26,24.0,423.05.00,PCS,225.00.00,0.4758554024099598,31.138,13.989,7224.0,"[24, 48, 72, 96]","[174, 51, 3, 4]",B,68.0,592.12,24.67,0
15022004001,330.57142857142856,502.7874870587544,1.5209647404543134,21,21,1.0,0.0005174514953978,光泉巧克力牛乳,32.00.00,15.00,13.00,6240.00.00,05.25,24.0,260.00.00,PCS,197.00.00,0.5157980700321662,29.922,29.434,6942.0,"[6, 12, 18, 24, 30, 36, 48, 60, 66, 72, 84, 96, 120, 174, 186]","[53, 18, 3, 97, 2, 17, 17, 3, 1, 4, 1, 5, 9, 1, 1]",C,66.0,974.14,40.59,0
14500013001,328.85714285714283,393.2500840068932,1.195808248500544,21,21,1.0,0.0017025823472067,味味A小排骨雞麵(碗) 90g,43.00.00,28.00.00,17.00,20468.0,"0,084027778",12.0,1705.07.00,PCS,567.00.00,0.1852102464958917,11.472,18.673,6906.0,"[3, 6, 9, 12, 15, 18, 21, 24, 27, 30, 33, 42, 48, 54, 60, 81, 132]","[248, 98, 12, 152, 5, 7, 1, 50, 2, 2, 3, 4, 4, 1, 1, 1, 11]",A,136.0,832.22,69.35,1
14831007001,326.7142857142857,221.0145114821972,0.6764764234260517,21,21,1.0,0.0019529620185494,同榮特選燒鰻(易開罐)100g,32.00.00,23.00,17.00,12512.0,"0,355555556",48.0,260.07.00,PCS,810.00.00,0.0944517591373477,8.347,15.162,6861.0,"[3, 6, 9, 12, 15, 21, 24, 27, 30, 36, 39, 48, 57, 60, 87, 96, 108, 144]","[446, 184, 63, 81, 1, 1, 1, 1, 3, 1, 1, 22, 1, 5, 1, 5, 2, 3]",A,109.0,609.61,12.7,1
10034036001,322.0,205.8912334219211,0.6394137683910593,21,21,1.0,0.0012352067278698,泰山冰鎮葡萄鮮冰茶 250ml,35.00.00,20.00,11.00,7700.00.00,"0,295138889",24.0,320.08.00,PCS,294.00.00,0.3870768820519658,22.922,14.645,6762.0,"[6, 12, 18, 24, 36, 42, 48]","[86, 14, 2, 133, 2, 1, 57]",B,61.0,585.54,24.4,1
10030048001,318.85714285714283,113.68829566595046,0.35654931436454,21,21,1.0,0.0017526582814753,原萃木柵鐵觀音 580ml,38.00.00,25.00.00,24.00.00,22800.0,"0,650694444",24.0,950.00.00,PCS,478.00.00,0.2401893301778303,13.806,12.444,6696.0,"[4, 8, 12, 16, 20, 24, 44, 48]","[228, 53, 16, 8, 5, 144, 1, 30]",B,46.0,464.38,19.35,1
10030007001,310.4761904761905,87.89517566261476,0.2830979584225322,21,21,1.0,0.0018861941061913,原萃文山包種烏龍茶580ml,38.00.00,25.00.00,24.00.00,22800.0,"0,644444444",24.0,950.00.00,PCS,479.00.00,0.23859602339961,13.333,12.917,6520.0,"[4, 8, 12, 16, 20, 24, 28, 32, 48, 52, 60, 72]","[238, 59, 22, 10, 3, 123, 1, 1, 28, 1, 1, 2]",B,47.0,422.98,17.62,1
10033041001,308.2857142857143,131.25438768176204,0.4257556597647517,21,21,1.0,0.0005508354515768,愛之味健康油切分解茶無糖 590ml,39.00.00,26.00.00,24.00.00,24336.0,15.762,24.0,1014.00.00,PCS,324.00.00,0.3573373777103715,19.559,13.496,6474.0,"[6, 12, 18, 24, 36, 42, 48]","[118, 28, 6, 135, 1, 3, 40]",B,55.0,476.29,19.85,0
14505899001,307.3809523809524,189.81977668053352,0.6175391650334939,21,21,1.0,0.0016525064129382,統一脆麵(包)55g,40.00.00,31.00.00,13.00,16120.0,03.00,40.0,403.00.00,PCS,403.00.00,0.2946317561373977,14.908,16.935,6455.0,"[5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 70, 80, 90]","[208, 127, 1, 8, 8, 5, 7, 45, 4, 3, 1, 4, 3, 7, 2]",B,60.0,550.35,13.76,1
10032019001,306.85714285714283,213.36969928138473,0.6953388710287213,21,21,1.0,0.0008179072174243,光泉午后時光-阿薩姆奶茶250ml,35.00.00,20.00,11.00,7700.00.00,06.05,24.0,320.08.00,PCS,229.00.00,0.467528874518758,27.076,21.324,6444.0,"[6, 12, 18, 24, 30, 36, 48, 96, 120]","[49, 15, 5, 114, 2, 1, 43, 4, 5]",B,83.0,579.97,24.17,0
14011052001,306.2857142857143,314.9541463224675,1.0283017837020862,20,21,0.9523809523809524,0.0016691983910277,乖乖-椰子,50.00.00,39.00.00,29.00.00,56550.0,02.45,24.0,2356.03.00,PCS,527.00.00,0.2052932451125814,11.955,13.675,6432.0,"[4, 8, 12, 16, 20, 24, 28, 32, 36, 40, 44, 48, 60, 68, 96, 120]","[276, 89, 44, 20, 26, 20, 3, 9, 3, 19, 4, 21, 1, 1, 1, 1]",B,48.0,709.43,29.56,1
10021016001,299.8095238095238,149.36385742461897,0.4981958395675029,21,21,1.0,0.0005675274296663,舒跑Pet590ml,43.00.00,29.00.00,24.00.00,29928.0,16.27,24.0,1247.00.00,PCS,280.00.00,0.4032666122231296,"0,924305556",15.574,6296.0,"[4, 8, 12, 16, 20, 24, 28, 32, 40, 48, 64, 72]","[67, 30, 6, 12, 3, 115, 4, 2, 1, 46, 1, 3]",B,63.0,491.0,20.46,0
12201035001,298.57142857142856,185.07527426119665,0.6198693396308022,21,21,1.0,0.0002503797586541,五月花聰明萬用紙巾,19.00,10.00,08.00,1550.00.00,00.02,1.0,1550.04.00,PCS,127.00.00,0.6122797953367444,46.791,36.801,6270.0,"[10, 20, 50, 60, 70, 110, 120, 130]","[38, 25, 5, 42, 5, 2, 16, 1]",C,88.0,535.47,535.47,0
14502011001,298.0,203.87937610263575,0.6841589802101871,21,21,1.0,0.0017693502595648,來一客-京燉肉骨 71g,45.00.00,33.00.00,20.00,29700.0,03.00,24.0,1237.05.00,PCS,720.00.00,0.1222412959784003,8.468,11.861,6258.0,"[3, 6, 9, 12, 15, 18, 21, 24, 27, 30, 36, 39, 48, 54, 72, 168]","[408, 191, 5, 7, 4, 1, 2, 93, 4, 1, 2, 1, 15, 1, 3, 1]",A,87.0,558.97,23.29,1
10033057001,292.95238095238096,161.94272944176166,0.5527954028408639,21,21,1.0,0.0006009113858453,每朝健康雙纖綠茶650ml,40.00.00,27.00.00,23.00,24840.0,17.18,24.0,1035.00.00,PCS,352.00.00,0.3257345710904818,17.33,15.118,6152.0,"[4, 8, 12, 16, 20, 24, 28, 40, 44, 48, 72]","[134, 42, 10, 4, 2, 117, 1, 1, 1, 40, 3]",B,57.0,500.24,20.84,0
10014028001,280.57142857142856,142.46563495403774,0.507769574683434,21,21,1.0,0.000667679356411,光泉果汁時刻芭芒柳汁TP250ml,34.00.00,20.00,11.00,7480.00.00,"0,29375",24.0,311.07.00,PCS,236.00.00,0.4589823502941618,24.448,14.863,5892.0,"[6, 12, 18, 24, 36, 42, 48, 60]","[58, 11, 7, 110, 1, 1, 51, 2]",B,64.0,462.93,19.29,0
10031031001,277.0952380952381,205.5616464134068,0.7418447456060394,21,21,1.0,0.0007344472687691,義美錫蘭紅茶TP250ml,35.00.00,21.00,12.00,8820.00.00,"0,295833333",24.0,367.05.00,PCS,282.00.00,0.4013933101114981,20.066,26.757,5819.0,"[6, 7, 12, 17, 18, 23, 24, 36, 48, 72, 414]","[102, 3, 34, 3, 5, 1, 106, 4, 30, 1, 1]",B,90.0,540.21,22.51,0
